"","director_id","name"
"1",0,"Frank Darabont"
"2",1,"Francis Ford Coppola"
"3",2,"Christopher Nolan"
"4",3,"Sidney Lumet"
"5",4,"Steven Spielberg"
"6",5,"Peter Jackson"
"7",6,"Quentin Tarantino"
"8",7,"Sergio Leone"
"9",8,"Robert Zemeckis"
"10",9,"David Fincher"
"11",10,"Irvin Kershner"
"12",11,"Lana Wachowski"
"13",12,"Lilly Wachowski"
"14",13,"Martin Scorsese"
"15",14,"Milos Forman"
"16",15,"Akira Kurosawa"
"17",16,"Frank Capra"
"18",17,"Jonathan Demme"
"19",18,"Fernando Meirelles"
"20",19,"Katia Lund"
"21",20,"Roberto Benigni"
"22",21,"George Lucas"
"23",22,"James Cameron"
"24",23,"Hayao Miyazaki"
"25",24,"Roman Polanski"
"26",25,"Alfred Hitchcock"
"27",26,"Bong Joon Ho"
"28",27,"Luc Besson"
"29",28,"Roger Allers"
"30",29,"Rob Minkoff"
"31",30,"Ridley Scott"
"32",31,"Tony Kaye"
"33",32,"Bryan Singer"
"34",33,"Damien Chazelle"
"35",34,"Michael Curtiz"
"36",35,"Isao Takahata"
"37",36,"Masaki Kobayashi"
"38",37,"Olivier Nakache"
"39",38,"Eric Toledano"
"40",39,"Charles Chaplin"
"41",40,"Giuseppe Tornatore"
"42",41,"Andrew Stanton"
"43",42,"Florian Henckel von Donnersmarck"
"44",43,"Billy Wilder"
"45",44,"Stanley Kubrick"
"46",45,"Anthony Russo"
"47",46,"Joe Russo"
"48",47,"Bob Persichetti"
"49",48,"Peter Ramsey"
"50",49,"Rodney Rothman"
"51",50,"Sam Mendes"
"52",51,"Park Chan-wook"
"53",52,"Lee Unkrich"
"54",53,"Adrian Molina"
"55",54,"John Lasseter"
"56",55,"Todd Phillips"
"57",56,"Mel Gibson"
"58",57,"Wolfgang Petersen"
"59",58,"Gus Van Sant"
"60",59,"Makoto Shinkai"
"61",60,"Stanley Donen"
"62",61,"Gene Kelly"
"63",62,"Rajkumar Hirani"
"64",63,"Darren Aronofsky"
"65",64,"Nadine Labaki"
"66",65,"Richard Marquand"
"67",66,"Michel Gondry"
"68",67,"Elem Klimov"
"69",68,"Thomas Vinterberg"
"70",69,"Orson Welles"
"71",70,"Fritz Lang"
"72",71,"David Lean"
"73",72,"Jean-Pierre Jeunet"
"74",73,"Brian De Palma"
"75",74,"Thomas Kail"
"76",75,"Denis Villeneuve"
"77",76,"Michael Mann"
"78",77,"Robert Mulligan"
"79",78,"George Roy Hill"
"80",79,"Pete Docter"
"81",80,"Bob Peterson"
"82",81,"Joseph Kosinski"
"83",82,"Asghar Farhadi"
"84",83,"Curtis Hanson"
"85",84,"John McTiernan"
"86",85,"Guy Ritchie"
"87",86,"Vittorio De Sica"
"88",87,"Aamir Khan"
"89",88,"Amole Gupte"
"90",89,"Oliver Hirschbiegel"
"91",90,"Nitesh Tiwari"
"92",91,"Florian Zeller"
"93",92,"Joseph L. Mankiewicz"
"94",93,"Peter Farrelly"
"95",94,"Stanley Kramer"
"96",95,"Peter Weir"
"97",96,"Guillermo del Toro"
"98",97,"Paul Thomas Anderson"
"99",98,"Clint Eastwood"
"100",99,"M. Night Shyamalan"
"101",100,"Ron Howard"
"102",101,"John Huston"
"103",102,"Terry Gilliam"
"104",103,"Terry Jones"
"105",104,"John Sturges"
"106",105,"Ethan Coen"
"107",106,"Joel Coen"
"108",107,"Jon Watts"
"109",108,"John Carpenter"
"110",109,"David Lynch"
"111",110,"James McTeigue"
"112",111,"Victor Fleming"
"113",112,"George Cukor"
"114",113,"Sam Wood"
"115",114,"Ronnie Del Carmen"
"116",115,"Juan Jose Campanella"
"117",116,"Martin McDonagh"
"118",117,"Danny Boyle"
"119",118,"Gavin O'Connor"
"120",119,"Majid Majidi"
"121",120,"Sergio Pablos"
"122",121,"Carlos Martinez Lopez"
"123",122,"Richard Linklater"
"124",123,"David Yates"
"125",124,"Steve McQueen"
"126",125,"Elia Kazan"
"127",126,"William Wyler"
"128",127,"Wes Anderson"
"129",128,"Ingmar Bergman"
"130",129,"Clyde Bruckman"
"131",130,"Buster Keaton"
"132",131,"Jim Sheridan"
"133",132,"Carol Reed"
"134",133,"Michael Cimino"
"135",134,"Henri-Georges Clouzot"
"136",135,"Damian Szifron"
"137",136,"George Miller"
"138",137,"Adam Elliot"
"139",138,"Dean DeBlois"
"140",139,"Chris Sanders"
"141",140,"David Silverman"
"142",141,"Lenny Abrahamson"
"143",142,"Yasujiro Ozu"
"144",143,"Carl Theodor Dreyer"
"145",144,"James Mangold"
"146",145,"Terry George"
"147",146,"John G. Avildsen"
"148",147,"Oliver Stone"
"149",148,"Brad Bird"
"150",149,"Jan Pinkava"
"151",150,"Tom McCarthy"
"152",151,"Rob Reiner"
"153",152,"Sean Penn"
"154",153,"Mervyn LeRoy"
"155",154,"Norman Taurog"
"156",155,"Richard Thorpe"
"157",156,"King Vidor"
"158",157,"Satyajit Ray"
"159",158,"Harold Ramis"
"160",159,"William Friedkin"
"161",160,"Ernst Lubitsch"
"162",161,"Mathieu Kassovitz"
"163",162,"Gore Verbinski"
"164",163,"Gillo Pontecorvo"
"165",164,"Lasse Hallstrom"
"166",165,"John Ford"
"167",166,"T.J. Gnanavel"
"168",167,"Cagan Irmak"
"169",168,"Alejandro G. Inarritu"
"170",169,"Stuart Rosenberg"
"171",170,"Francois Truffaut"
"172",171,"Robert Wise"
"173",172,"Tate Taylor"
"174",173,"Ron Clements"
"175",174,"John Musker"
"176",175,"Richard Attenborough"
"177",176,"Kevin Costner"
