"","movie_id","director_id"
"1","tt0111161","0"
"2","tt0068646","1"
"3","tt0468569","2"
"4","tt0071562","1"
"5","tt0050083","3"
"6","tt0108052","4"
"7","tt0167260","5"
"8","tt0110912","6"
"9","tt0120737","5"
"10","tt0060196","7"
"11","tt0109830","8"
"12","tt0137523","9"
"13","tt0167261","5"
"14","tt1375666","2"
"15","tt0080684","10"
"16","tt0133093","11"
"17","tt0133093","12"
"18","tt0099685","13"
"19","tt0073486","14"
"20","tt0114369","9"
"21","tt0047478","15"
"22","tt0038650","16"
"23","tt0102926","17"
"24","tt0120815","4"
"25","tt0317248","18"
"26","tt0317248","19"
"27","tt0816692","2"
"28","tt0118799","20"
"29","tt0120689","0"
"30","tt0076759","21"
"31","tt0103064","22"
"32","tt0088763","8"
"33","tt0245429","23"
"34","tt0253474","24"
"35","tt0054215","25"
"36","tt6751668","26"
"37","tt0110413","27"
"38","tt0110357","28"
"39","tt0110357","29"
"40","tt0172495","30"
"41","tt0120586","31"
"42","tt0407887","13"
"43","tt0114814","32"
"44","tt0482571","2"
"45","tt2582802","33"
"46","tt0034583","34"
"47","tt0095327","35"
"48","tt0056058","36"
"49","tt1675434","37"
"50","tt1675434","38"
"51","tt0027977","39"
"52","tt0064116","7"
"53","tt0095765","40"
"54","tt0047396","25"
"55","tt0078748","30"
"56","tt0021749","39"
"57","tt0078788","1"
"58","tt0209144","2"
"59","tt1853728","6"
"60","tt0082971","4"
"61","tt0910970","41"
"62","tt0405094","42"
"63","tt0043014","43"
"64","tt0050825","44"
"65","tt0081505","44"
"66","tt0032553","39"
"67","tt4154756","45"
"68","tt4154756","46"
"69","tt0051201","43"
"70","tt0090605","22"
"71","tt4633694","47"
"72","tt4633694","48"
"73","tt4633694","49"
"74","tt0169547","50"
"75","tt0057012","44"
"76","tt1345836","2"
"77","tt0364569","51"
"78","tt0361748","6"
"79","tt0086879","14"
"80","tt2380307","52"
"81","tt2380307","53"
"82","tt0114709","54"
"83","tt7286456","55"
"84","tt0112573","56"
"85","tt0082096","57"
"86","tt4154796","45"
"87","tt4154796","46"
"88","tt0119698","23"
"89","tt0087843","7"
"90","tt0119217","58"
"91","tt5311514","59"
"92","tt0045152","60"
"93","tt0045152","61"
"94","tt1187043","62"
"95","tt0180093","63"
"96","tt0057565","15"
"97","tt0435761","52"
"98","tt8267604","64"
"99","tt0086190","65"
"100","tt0062622","44"
"101","tt0338013","66"
"102","tt0105236","6"
"103","tt0091251","67"
"104","tt2106476","68"
"105","tt0033467","69"
"106","tt0022100","70"
"107","tt0056172","71"
"108","tt0053125","25"
"109","tt0044741","15"
"110","tt0052357","25"
"111","tt0053604","43"
"112","tt0211915","72"
"113","tt0066921","44"
"114","tt0036775","43"
"115","tt0093058","44"
"116","tt0086250","73"
"117","tt8503618","74"
"118","tt1255953","75"
"119","tt0113277","76"
"120","tt0056592","77"
"121","tt0070735","78"
"122","tt1049413","79"
"123","tt1049413","80"
"124","tt1745960","81"
"125","tt1832382","82"
"126","tt0017136","70"
"127","tt0075314","13"
"128","tt0119488","83"
"129","tt0095016","84"
"130","tt0208092","85"
"131","tt0097576","4"
"132","tt0040522","86"
"133","tt0986264","87"
"134","tt0986264","88"
"135","tt8579674","50"
"136","tt0363163","89"
"137","tt5074352","90"
"138","tt0059578","7"
"139","tt0372784","2"
"140","tt0012349","39"
"141","tt0053291","43"
"142","tt10272386","91"
"143","tt0042192","92"
"144","tt0993846","13"
"145","tt6966692","93"
"146","tt0055031","94"
"147","tt0089881","15"
"148","tt0112641","13"
"149","tt0120382","95"
"150","tt0457430","96"
"151","tt0469494","97"
"152","tt0105695","98"
"153","tt0167404","99"
"154","tt1130884","13"
"155","tt0268978","100"
"156","tt0107290","4"
"157","tt0055630","15"
"158","tt0040897","101"
"159","tt0071853","102"
"160","tt0071853","103"
"161","tt0057115","104"
"162","tt0477348","105"
"163","tt0477348","106"
"164","tt0266697","6"
"165","tt0042876","15"
"166","tt10872600","107"
"167","tt0084787","108"
"168","tt0266543","41"
"169","tt0266543","52"
"170","tt0080678","109"
"171","tt0071315","24"
"172","tt0081398","13"
"173","tt0434409","110"
"174","tt0031381","111"
"175","tt0031381","112"
"176","tt0031381","113"
"177","tt0120735","85"
"178","tt2096673","79"
"179","tt2096673","114"
"180","tt0046912","25"
"181","tt1305806","115"
"182","tt0347149","23"
"183","tt5027774","116"
"184","tt0050212","71"
"185","tt0117951","117"
"186","tt1392214","75"
"187","tt1291584","118"
"188","tt0116282","106"
"189","tt0116282","105"
"190","tt1205489","98"
"191","tt0096283","23"
"192","tt0264464","4"
"193","tt0405159","98"
"194","tt0118849","119"
"195","tt0083658","30"
"196","tt0015864","39"
"197","tt4729430","120"
"198","tt4729430","121"
"199","tt0112471","122"
"200","tt1201607","123"
"201","tt2024544","124"
"202","tt0047296","125"
"203","tt0052618","126"
"204","tt2278388","127"
"205","tt2267998","9"
"206","tt0050986","128"
"207","tt0017925","129"
"208","tt0017925","130"
"209","tt0107207","131"
"210","tt0041959","132"
"211","tt0072684","44"
"212","tt0077416","133"
"213","tt2119532","56"
"214","tt0046268","134"
"215","tt0353969","26"
"216","tt0015324","130"
"217","tt3011894","135"
"218","tt0031679","16"
"219","tt1392190","136"
"220","tt0978762","137"
"221","tt0050976","128"
"222","tt0892769","138"
"223","tt0892769","139"
"224","tt0198781","79"
"225","tt0198781","140"
"226","tt0198781","52"
"227","tt3170832","141"
"228","tt0073195","4"
"229","tt0097165","95"
"230","tt0118715","106"
"231","tt0118715","105"
"232","tt0046438","142"
"233","tt0019254","143"
"234","tt1950186","144"
"235","tt0395169","145"
"236","tt0075148","146"
"237","tt0091763","147"
"238","tt0382932","148"
"239","tt0382932","149"
"240","tt1895587","150"
"241","tt0088247","22"
"242","tt3315342","144"
"243","tt0092005","151"
"244","tt1979320","100"
"245","tt0074958","3"
"246","tt0381681","122"
"247","tt0758758","152"
"248","tt0032138","111"
"249","tt0032138","112"
"250","tt0032138","153"
"251","tt0032138","154"
"252","tt0032138","155"
"253","tt0032138","156"
"254","tt0036868","126"
"255","tt0048473","157"
"256","tt0107048","158"
"257","tt0070047","159"
"258","tt0035446","160"
"259","tt0317705","148"
"260","tt0113247","161"
"261","tt0325980","162"
"262","tt0058946","163"
"263","tt1028532","164"
"264","tt0032551","165"
"265","tt15097216","166"
"266","tt0476735","167"
"267","tt0245712","168"
"268","tt0032976","25"
"269","tt0061512","169"
"270","tt4016934","51"
"271","tt0053198","170"
"272","tt0059742","171"
"273","tt0025316","16"
"274","tt0060827","128"
"275","tt0079470","103"
"276","tt0129167","148"
"277","tt0071411","15"
"278","tt1454029","172"
"279","tt0103639","173"
"280","tt0103639","174"
"281","tt0083987","175"
"282","tt0099348","176"
